user_id,signup_date,last_active_date,plan_type,num_logins,num_features_used,avg_session_length,region,churned
1001,2021-04-13,2021-04-25,basic,14,7,10.8,APAC,True
1002,2022-03-12,2022-08-09,basic,19,10,12.8,APAC,True
1003,2021-09-28,2022-03-01,basic,18,1,7.8,EU,True
1004,2021-04-17,2021-07-14,basic,16,9,6.2,APAC,True
1005,2021-03-13,2021-08-14,basic,13,8,9.3,EU,True
1006,2022-12-02,2023-03-06,free,14,7,8.2,EU,False
1007,2021-01-21,2021-02-10,free,14,10,8.5,NA,True
1008,2022-09-07,2022-10-05,free,14,7,10.6,EU,True
1009,2021-05-02,2021-05-23,basic,16,5,8.5,EU,True
1010,2022-04-12,2022-05-24,free,9,5,6.2,EU,True
1011,2021-08-03,2021-08-06,premium,13,5,8.3,EU,True
1012,2021-11-27,2022-02-21,basic,20,1,11.0,EU,True
1013,2022-04-04,2022-05-10,premium,16,8,12.0,EU,True
1014,2021-03-29,2021-07-02,premium,14,1,12.0,APAC,True
1015,2022-01-08,2022-02-20,premium,12,4,11.3,NA,True
1016,2021-04-10,2021-07-22,premium,14,9,9.5,EU,True
1017,2022-10-26,2022-12-02,basic,14,9,11.2,NA,True
1018,2021-05-11,2021-06-07,basic,10,5,9.9,EU,True
1019,2022-10-24,2022-12-24,free,12,4,10.3,EU,True
1020,2021-11-05,2022-02-19,free,14,3,7.2,NA,True
1021,2021-12-10,2022-01-17,basic,13,3,10.1,EU,True
1022,2022-05-07,2023-01-10,basic,18,5,11.1,NA,False
1023,2022-02-18,2022-02-21,free,14,10,11.0,EU,True
1024,2022-01-21,2022-03-10,basic,16,1,6.1,NA,True
1025,2021-07-11,2022-05-15,premium,10,5,10.3,EU,True
1026,2021-10-04,2021-12-14,basic,7,6,5.7,NA,True
1027,2021-06-10,2021-07-29,basic,11,7,10.5,EU,True
1028,2022-04-05,2022-06-19,premium,9,9,7.9,NA,True
1029,2021-11-10,2022-01-26,premium,16,3,15.1,APAC,True
1030,2021-01-22,2021-05-20,basic,14,2,10.4,APAC,True
1031,2021-09-10,2021-09-22,premium,17,3,12.4,APAC,True
1032,2022-07-15,2022-08-09,premium,16,9,16.3,EU,True
1033,2022-04-20,2022-07-07,premium,15,7,7.5,EU,True
1034,2021-02-28,2021-08-28,free,15,9,11.3,NA,True
1035,2022-05-26,2022-08-08,basic,10,2,6.4,NA,True
1036,2022-11-13,2022-12-07,free,10,5,11.0,NA,True
1037,2022-04-21,2022-08-01,free,18,4,15.3,EU,True
1038,2022-12-01,2023-04-01,basic,12,2,8.1,APAC,False
1039,2021-07-09,2021-08-02,basic,18,9,7.3,NA,True
1040,2022-11-18,2022-12-30,premium,19,9,9.7,APAC,True
1041,2022-07-17,2022-09-23,free,16,6,16.1,EU,True
1042,2022-07-21,2022-09-20,premium,10,6,12.3,EU,True
1043,2021-09-01,2021-10-15,basic,13,8,7.3,NA,True
1044,2022-05-20,2022-06-20,basic,9,6,14.4,NA,True
1045,2021-05-11,2021-05-20,premium,9,1,5.0,EU,True
1046,2022-04-30,2022-05-04,basic,14,4,16.4,EU,True
1047,2022-10-09,2023-07-22,free,20,7,12.6,NA,False
1048,2021-01-21,2021-07-09,premium,20,2,15.3,EU,True
1049,2021-06-16,2021-07-25,free,12,9,5.1,APAC,True
1050,2021-10-01,2022-07-10,free,13,8,10.5,APAC,True
1051,2022-01-23,2022-05-04,premium,16,8,9.6,APAC,True
1052,2022-08-24,2022-10-22,free,14,7,7.0,NA,True
1053,2021-11-12,2022-01-12,basic,16,4,6.1,NA,True
1054,2021-01-14,2021-01-21,free,14,2,11.5,EU,True
1055,2021-08-30,2021-09-07,premium,16,3,11.8,NA,True
1056,2021-12-12,2022-03-05,free,17,6,13.9,NA,True
1057,2022-07-19,2022-09-29,premium,15,5,8.5,NA,True
1058,2021-12-06,2021-12-27,basic,21,8,9.6,NA,True
1059,2021-04-02,2021-12-21,free,9,6,5.9,NA,True
1060,2022-01-02,2022-05-18,basic,15,6,14.6,NA,True
1061,2022-03-31,2022-04-10,premium,15,1,10.2,NA,True
1062,2022-03-04,2022-10-30,basic,16,4,12.2,NA,True
1063,2022-05-24,2023-04-18,free,18,5,12.3,EU,False
1064,2021-02-04,2022-06-14,basic,19,3,14.4,EU,True
1065,2021-07-25,2021-07-30,basic,21,9,7.5,EU,True
1066,2021-03-22,2021-07-20,basic,24,1,12.1,NA,True
1067,2022-07-16,2022-09-25,basic,14,6,9.9,NA,True
1068,2022-01-23,2022-05-13,basic,15,6,16.3,EU,True
1069,2021-01-02,2021-11-09,free,11,10,7.5,EU,True
1070,2022-01-25,2022-05-09,basic,15,5,13.5,EU,True
1071,2022-07-20,2022-12-30,basic,22,5,11.1,NA,True
1072,2021-04-16,2021-10-14,free,16,10,10.9,APAC,True
1073,2022-04-22,2022-10-03,premium,18,5,10.2,NA,True
1074,2022-12-04,2023-01-22,basic,15,6,14.0,NA,False
1075,2022-02-06,2022-02-28,basic,11,8,10.8,EU,True
1076,2022-12-31,2023-02-14,premium,19,2,5.4,EU,False
1077,2022-07-10,2023-01-26,basic,22,6,13.7,NA,False
1078,2021-06-11,2021-06-25,premium,9,1,13.1,NA,True
